URL,Status
https://www.youthtothepeople.com/products/superfood-face-cleanser,Complete
https://www.herocosmetics.us/products/rescue-mission,Complete
https://www.irestorelaser.com/products/laser-hair-growth-system-professional,Complete
https://www.lagirlusa.com/products/hd-pro-concealer,Complete
https://www.algenist.com/products/elevate-advanced-retinol-serum,Complete
https://www.adorecosmetics.com/products/facial-peeling-gel,Complete
https://hellotushy.com/products/tushy-ottoman-toilet-stool,Complete
https://www.aromatics.com/products/lavender-essential-oil,Complete
https://www.beautybakerie.com/products/proof-is-in-the-pudding-eyeshadow-palette,Incomplete
https://byartis.com/products/phantom-silks-skincare-sampler,Incomplete
https://revisionskincare.com/products/nectifirm-advanced-next-generation-technology-for-a-younger-looking-neck-and-decolletage,Complete
https://iliabeauty.com/products/amberlight,Complete
https://www.bhcosmetics.com/products/petite-chic,Incomplete
https://biossance.com/products/squalane-glycolic-renewal-facial,Complete
https://www.farmacybeauty.com/products/green-clean-1,Incomplete
https://yoursuper.com/collections/your-superfoods/products/gift-card?rfsn=2105467.7b3bd6,Complete
https://beautybio.com/products/bright-eyes-illuminating-colloidal-silver-collagen-eye-patches,Complete
https://www.tula.com/products/hydrating-day-night-cream,Incomplete
https://athleticgreens.com/products/ultimate-daily-greens-powder,Incomplete
https://borboletabeauty.com/products/jade-stone,Incomplete
https://borboletabeauty.com/products/jade-stone,Incomplete
https://www.gaiam.com/products/fitness-mat-10-pack-buy-more-and-save,Complete
